device,brand,country,vertical,sov
-1,KAYAK,Afghanistan,Flights,7.2438%
-1,Hotelscombined,Afghanistan,Flights,8.9223%
-1,Momondo,Afghanistan,Flights,1.0601%
-1,CheapFlights,Afghanistan,Flights,0.7951%
-1,KAYAK,Afghanistan,Hotel,3.7037%
-1,Hotelscombined,Afghanistan,Hotel,4.6296%
-1,KAYAK,Afghanistan,Hotel Citywide,10.1809%
-1,Momondo,Afghanistan,Hotel Citywide,2.1620%
-1,Hotelscombined,Afghanistan,Hotel Citywide,2.6730%
-1,KAYAK,Albania,Flights,3.0162%
-1,CheapFlights,Albania,Flights,3.5951%
-1,Hotelscombined,Albania,Flights,13.6832%
-1,Momondo,Albania,Flights,2.6209%
-1,KAYAK,Albania,Hotel,7.5078%
-1,Hotelscombined,Albania,Hotel,9.5975%
-1,Momondo,Albania,Hotel,0.6966%
-1,Swoodoo,Albania,Hotel,0.0774%
-1,KAYAK,Albania,Hotel Citywide,7.5666%
-1,Momondo,Albania,Hotel Citywide,0.9783%
-1,Hotelscombined,Albania,Hotel Citywide,3.8817%
-1,Swoodoo,Albania,Hotel Citywide,0.0040%
-1,Hotelscombined,Albania,Vacations,13.7255%
-1,KAYAK,Albania,Vacations,0.9804%
-1,Momondo,Algeria,Car Rentals,24.9999%
-1,Hotelscombined,Algeria,Flights,5.2763%
-1,KAYAK,Algeria,Flights,0.0829%
-1,Momondo,Algeria,Flights,0.0816%
-1,CheapFlights,Algeria,Flights,0.1166%
-1,Hotelscombined,Algeria,Hotel,6.7170%
-1,KAYAK,Algeria,Hotel,6.1387%
-1,Momondo,Algeria,Hotel,1.0231%
-1,KAYAK,Algeria,Hotel Citywide,6.1672%
-1,Hotelscombined,Algeria,Hotel Citywide,3.6077%
-1,Momondo,Algeria,Hotel Citywide,1.1307%
-1,KAYAK,Algeria,Vacations,9.4828%
-1,Hotelscombined,Algeria,Vacations,5.1724%
-1,KAYAK,American Samoa,Flights,15.6250%
-1,Hotelscombined,American Samoa,Hotel,5.0000%
-1,KAYAK,American Samoa,Hotel,5.0000%
-1,KAYAK,American Samoa,Hotel Citywide,4.1667%
-1,Momondo,American Samoa,Hotel Citywide,4.1667%
-1,Hotelscombined,American Samoa,Hotel Citywide,2.7778%
-1,KAYAK,Andorra,Flights,5.2070%
-1,CheapFlights,Andorra,Flights,5.8431%
-1,Momondo,Andorra,Flights,2.1449%
-1,Hotelscombined,Andorra,Flights,6.5384%
-1,KAYAK,Andorra,Hotel,10.9467%
-1,Hotelscombined,Andorra,Hotel,4.5858%
-1,Momondo,Andorra,Hotel,0.1479%
-1,KAYAK,Andorra,Hotel Citywide,7.0401%
-1,Hotelscombined,Andorra,Hotel Citywide,2.5769%
-1,Momondo,Andorra,Hotel Citywide,0.7688%
-1,Hotelscombined,Andorra,Vacations,16.3979%
-1,KAYAK,Andorra,Vacations,0.8065%
-1,Momondo,Angola,Car Rentals,24.1935%
-1,KAYAK,Angola,Car Rentals,0.8065%
-1,CheapFlights,Angola,Flights,6.0006%
-1,KAYAK,Angola,Flights,4.8755%
-1,Hotelscombined,Angola,Flights,5.4080%
-1,Momondo,Angola,Flights,2.0402%
-1,KAYAK,Angola,Hotel,8.2558%
-1,Hotelscombined,Angola,Hotel,6.3953%
-1,Momondo,Angola,Hotel,0.3488%
-1,KAYAK,Angola,Hotel Citywide,7.8045%
-1,Momondo,Angola,Hotel Citywide,1.7028%
-1,Hotelscombined,Angola,Hotel Citywide,2.1124%
-1,Swoodoo,Angola,Hotel Citywide,0.0032%
-1,KAYAK,Angola,Vacations,8.3333%
-1,Hotelscombined,Angola,Vacations,8.3333%
-1,KAYAK,Anguilla,Flights,3.6649%
-1,Momondo,Anguilla,Flights,1.0471%
-1,Hotelscombined,Anguilla,Flights,8.1152%
-1,CheapFlights,Anguilla,Flights,0.3927%
-1,KAYAK,Anguilla,Hotel,4.7795%
-1,Hotelscombined,Anguilla,Hotel,4.4119%
-1,Momondo,Anguilla,Hotel,0.3677%
-1,KAYAK,Anguilla,Hotel Citywide,6.1302%
-1,Hotelscombined,Anguilla,Hotel Citywide,3.1130%
-1,Momondo,Anguilla,Hotel Citywide,1.1015%
-1,CheapFlights,Anguilla,Hotel Citywide,0.0958%
-1,KAYAK,Antarctica,Hotel Citywide,8.3333%
-1,Hotelscombined,Antarctica,Hotel Citywide,2.0833%
-1,KAYAK,Antigua and Barbuda,Flights,5.2552%
-1,Momondo,Antigua and Barbuda,Flights,1.3513%
-1,Hotelscombined,Antigua and Barbuda,Flights,5.7057%
-1,CheapFlights,Antigua and Barbuda,Flights,0.3003%
-1,KAYAK,Antigua and Barbuda,Hotel,3.1819%
-1,Hotelscombined,Antigua and Barbuda,Hotel,3.6365%
-1,Momondo,Antigua and Barbuda,Hotel,0.6818%
-1,KAYAK,Antigua and Barbuda,Hotel Citywide,5.2568%
-1,Momondo,Antigua and Barbuda,Hotel Citywide,1.0901%
-1,Hotelscombined,Antigua and Barbuda,Hotel Citywide,2.0591%
-1,CheapFlights,Antigua and Barbuda,Hotel Citywide,0.0969%
-1,Momondo,Argentina,Car Rentals,23.3784%
-1,KAYAK,Argentina,Car Rentals,5.5405%
-1,Momondo,Argentina,Flights,4.1259%
-1,KAYAK,Argentina,Flights,5.1179%
-1,Hotelscombined,Argentina,Flights,2.3760%
-1,CheapFlights,Argentina,Flights,0.5534%
-1,Hotelscombined,Argentina,Hotel,11.0109%
-1,Momondo,Argentina,Hotel,3.0367%
-1,KAYAK,Argentina,Hotel,4.2467%
-1,Hotelscombined,Argentina,Hotel Citywide,8.1004%
-1,KAYAK,Argentina,Hotel Citywide,1.8845%
-1,Momondo,Argentina,Hotel Citywide,2.9423%
-1,Swoodoo,Argentina,Hotel Citywide,0.0008%
-1,Hotelscombined,Argentina,Vacations,17.2839%
-1,KAYAK,Argentina,Vacations,0.3086%
-1,KAYAK,Armenia,Flights,3.0720%
-1,CheapFlights,Armenia,Flights,1.8644%
-1,Hotelscombined,Armenia,Flights,11.3772%
-1,Momondo,Armenia,Flights,0.7839%
-1,KAYAK,Armenia,Hotel,8.9714%
-1,Hotelscombined,Armenia,Hotel,7.4163%
-1,Momondo,Armenia,Hotel,0.4785%
-1,KAYAK,Armenia,Hotel Citywide,8.7227%
-1,Hotelscombined,Armenia,Hotel Citywide,3.3676%
-1,Momondo,Armenia,Hotel Citywide,1.0974%
-1,Hotelscombined,Armenia,Vacations,21.8750%
-1,Momondo,Aruba,Car Rentals,25.0001%
-1,KAYAK,Aruba,Flights,1.8135%
-1,Hotelscombined,Aruba,Flights,6.5120%
-1,CheapFlights,Aruba,Flights,0.6241%
-1,Momondo,Aruba,Flights,0.4239%
-1,KAYAK,Aruba,Hotel,4.6539%
-1,Hotelscombined,Aruba,Hotel,5.9665%
-1,Momondo,Aruba,Hotel,0.2387%
-1,KAYAK,Aruba,Hotel Citywide,7.2565%
-1,Hotelscombined,Aruba,Hotel Citywide,3.2984%
-1,Momondo,Aruba,Hotel Citywide,1.4552%
-1,CheapFlights,Aruba,Hotel Citywide,0.0291%
-1,Hotelscombined,Aruba,Vacations,12.5000%
-1,Momondo,Australia,Car Rentals,25.0000%
-1,CheapFlights,Australia,Flights,8.6374%
-1,Momondo,Australia,Flights,6.2538%
-1,KAYAK,Australia,Flights,5.9871%
-1,Travelsearch,Australia,Flights,5.9191%
-1,Hotelscombined,Australia,Flights,2.6045%
-1,Hotelscombined,Australia,Hotel,4.0000%
-1,KAYAK,Australia,Hotel,2.3436%
-1,Momondo,Australia,Hotel,0.3401%
-1,Swoodoo,Australia,Hotel,0.0002%
-1,KAYAK,Australia,Hotel Citywide,4.8756%
-1,Momondo,Australia,Hotel Citywide,1.4321%
-1,Hotelscombined,Australia,Hotel Citywide,0.5509%
