key,brand,country,vertical,cost_amt,click_cnt,avg_cpc_meas,search_cnt,sov_meas
Hotelscombined_Italy_Flights,Hotelscombined,Italy,Flights,82.914300000,80171,0.0010342,794848,0.1008633
Momondo_Israel_Hotel,Momondo,Israel,Hotel,82.824800000,2081,0.0398005,12591,0.1652768
Hotelscombined_United Kingdom_Flights,Hotelscombined,United Kingdom,Flights,82.390100000,70332,0.0011714,583824,0.1204678
Momondo_Thailand_Hotel Citywide,Momondo,Thailand,Hotel Citywide,82.112900000,7960,0.0103157,21804,0.3650706
CheapFlights_Norway_Flights,CheapFlights,Norway,Flights,81.714500000,4654,0.0175579,54424,0.0855137
Momondo_Ecuador_Flights,Momondo,Ecuador,Flights,81.668300000,11509,0.007096,85879,0.1340141
KAYAK_Lebanon_Hotel Citywide,KAYAK,Lebanon,Hotel Citywide,81.555200000,4141,0.0196946,8871,0.4668019
KAYAK_Algeria_Hotel Citywide,KAYAK,Algeria,Hotel Citywide,81.115300000,5144,0.0157689,23817,0.2159802
Momondo_Indonesia_Hotel Citywide,Momondo,Indonesia,Hotel Citywide,81.075200000,7088,0.0114384,20595,0.3441612
Momondo_Mexico_Flights,Momondo,Mexico,Flights,80.790900000,7489,0.0107879,144251,0.0519165
KAYAK_Norway_Hotel Citywide,KAYAK,Norway,Hotel Citywide,80.437300000,9206,0.0087375,49316,0.1866737
Hotelscombined_Chile_Flights,Hotelscombined,Chile,Flights,79.790700000,31570,0.0025274,134227,0.2351986
KAYAK_Paraguay_Flights,KAYAK,Paraguay,Flights,78.909000000,7306,0.0108006,16409,0.4452435
KAYAK_Luxembourg_Hotel Citywide,KAYAK,Luxembourg,Hotel Citywide,78.897700000,4549,0.017344,31345,0.1451268
KAYAK_Lebanon_Flights,KAYAK,Lebanon,Flights,78.653300000,4958,0.0158639,12810,0.3870414
Hotelscombined_Brazil_Hotel Citywide,Hotelscombined,Brazil,Hotel Citywide,77.622500000,48636,0.001596,297827,0.1633029
KAYAK_Denmark_Hotel Citywide,KAYAK,Denmark,Hotel Citywide,77.540800000,10043,0.0077209,56762,0.1769318
Momondo_United Arab Emirates_Hotel Citywide,Momondo,United Arab Emirates,Hotel Citywide,77.423900000,9641,0.0080307,54374,0.177309
KAYAK_United States_Car Rentals,KAYAK,United States,Car Rentals,77.315300000,206,0.375317,317,0.6498423
Momondo_Pakistan_Flights,Momondo,Pakistan,Flights,77.063300000,4565,0.0168813,37216,0.1226623
KAYAK_Nepal_Hotel Citywide,KAYAK,Nepal,Hotel Citywide,76.822400000,3832,0.0200476,12783,0.2997731
KAYAK_Cuba_Flights,KAYAK,Cuba,Flights,75.832800000,8532,0.008888,19305,0.441958
KAYAK_Albania_Hotel Citywide,KAYAK,Albania,Hotel Citywide,75.596500000,4658,0.0162294,10896,0.4274963
CheapFlights_Cameroon_Flights,CheapFlights,Cameroon,Flights,75.229000000,7837,0.0095992,13183,0.5944777
KAYAK_Georgia_Hotel Citywide,KAYAK,Georgia,Hotel Citywide,74.823400000,5301,0.014115,9312,0.5692655
KAYAK_Ecuador_Hotel Citywide,KAYAK,Ecuador,Hotel Citywide,74.396100000,6600,0.0112721,29413,0.2243906
KAYAK_Bosnia and Herzegovina_Hotel Citywide,KAYAK,Bosnia and Herzegovina,Hotel Citywide,74.371300000,4894,0.0151964,9444,0.5182126
KAYAK_Netherlands_Flights,KAYAK,Netherlands,Flights,73.786100000,14012,0.0052659,161156,0.0869468
KAYAK_Paraguay_Hotel Citywide,KAYAK,Paraguay,Hotel Citywide,73.459100000,2010,0.0365468,7422,0.2708165
KAYAK_Cuba_Hotel Citywide,KAYAK,Cuba,Hotel Citywide,73.130500000,835,0.0875814,9090,0.0918592
Hotelscombined_France_Flights,Hotelscombined,France,Flights,72.883300000,72487,0.0010055,1229144,0.0589736
Hotelscombined_Ireland_Hotel,Hotelscombined,Ireland,Hotel,72.399200000,9815,0.0073764,35644,0.2753619
Momondo_Brazil_Car Rentals,Momondo,Brazil,Car Rentals,72.036000000,1011,0.0712522,2376,0.4255051
CheapFlights_Slovenia_Flights,CheapFlights,Slovenia,Flights,71.499900000,3597,0.0198776,14466,0.248652
KAYAK_Kenya_Hotel Citywide,KAYAK,Kenya,Hotel Citywide,71.043400000,4122,0.0172352,12183,0.3383403
KAYAK_Kazakhstan_Hotel Citywide,KAYAK,Kazakhstan,Hotel Citywide,70.184600000,1108,0.0633435,8082,0.1370948
Momondo_New Zealand_Hotel Citywide,Momondo,New Zealand,Hotel Citywide,68.079600000,7922,0.0085937,26508,0.2988532
KAYAK_Belgium_Vacations,KAYAK,Belgium,Vacations,67.833500000,1849,0.0366866,3650,0.5065753
KAYAK_Russia_Hotel Citywide,KAYAK,Russia,Hotel Citywide,67.168500000,1885,0.0356332,173814,0.0108449
