"key","brand","country","vertical","cost_amt","click_cnt","avg_cpc_meas","search_cnt","sov_meas"
KAYAK_United Arab Emirates_Hotel Citywide,KAYAK,United Arab Emirates,Hotel Citywide,1022.2086000000094,32150,0.031794979782270895,96765,0.3322482302485402779
Hotelscombined_United Arab Emirates_Hotel Citywide,Hotelscombined,United Arab Emirates,Hotel Citywide,95.73859999999996,18129,0.005280964201003914,96765,0.1873507983258409548
Swoodoo_United Arab Emirates_Hotel Citywide,Swoodoo,United Arab Emirates,Hotel Citywide,0.1076,5,0.02152,96765,0.0000516715754663359
Momondo_United Arab Emirates_Hotel Citywide,Momondo,United Arab Emirates,Hotel Citywide,87.7332,5659,0.015503304470754549,96765,0.0584818891127990492
KAYAK_Nicaragua_Hotel Citywide,KAYAK,Nicaragua,Hotel Citywide,17.3091,1793,0.009653708867819298,9847,0.1820859144917233675
Hotelscombined_Nicaragua_Hotel Citywide,Hotelscombined,Nicaragua,Hotel Citywide,18.594899999999996,1571,0.011836346276257159,9847,0.1595409769472935919
Momondo_Nicaragua_Hotel Citywide,Momondo,Nicaragua,Hotel Citywide,8.476999999999999,702,0.012075498575498573,9847,0.0712907484513049659
CheapFlights_Nicaragua_Hotel Citywide,CheapFlights,Nicaragua,Hotel Citywide,1.6627999999999998,238,0.006986554621848739,9847,0.0241697979079922819
Hotelscombined_Laos_Hotel Citywide,Hotelscombined,Laos,Hotel Citywide,1.3032,186,0.007006451612903225,1136,0.1637323943661971830
Momondo_Laos_Hotel Citywide,Momondo,Laos,Hotel Citywide,1.2176999999999996,93,0.01309354838709677,1136,0.0818661971830985915
KAYAK_Laos_Hotel Citywide,KAYAK,Laos,Hotel Citywide,15.149700000000001,554,0.027346028880866426,1136,0.4876760563380281690
Swoodoo_Republic of Moldova_Hotel Citywide,Swoodoo,Republic of Moldova,Hotel Citywide,0.0872,6,0.014533333333333334,16326,0.0003675119441381844
Hotelscombined_Republic of Moldova_Hotel Citywide,Hotelscombined,Republic of Moldova,Hotel Citywide,11.7177,1408,0.008322230113636364,16326,0.0862428028910939605
Momondo_Republic of Moldova_Hotel Citywide,Momondo,Republic of Moldova,Hotel Citywide,8.337499999999999,481,0.01733367983367983,16326,0.0294622075217444566
KAYAK_Republic of Moldova_Hotel Citywide,KAYAK,Republic of Moldova,Hotel Citywide,134.5583,4525,0.0297366408839779,16326,0.2771652578708808036
Momondo_Mali_Hotel Citywide,Momondo,Mali,Hotel Citywide,3.0526999999999997,359,0.0085033426183844,8305,0.0432269717037928958
Hotelscombined_Mali_Hotel Citywide,Hotelscombined,Mali,Hotel Citywide,1.9024000000000003,637,0.002986499215070644,8305,0.0767007826610475617
KAYAK_Mali_Hotel Citywide,KAYAK,Mali,Hotel Citywide,43.587999999999994,1742,0.025021814006888632,8305,0.2097531607465382299
Momondo_Nauru_Hotel Citywide,Momondo,Nauru,Hotel Citywide,0.0182,2,0.0091,14,0.1428571428571428571
KAYAK_Nauru_Hotel Citywide,KAYAK,Nauru,Hotel Citywide,0.045399999999999996,2,0.022699999999999998,14,0.1428571428571428571
Hotelscombined_Nauru_Hotel Citywide,Hotelscombined,Nauru,Hotel Citywide,0.0021,1,0.0021,14,0.0714285714285714285
KAYAK_North Korea_Hotel Citywide,KAYAK,North Korea,Hotel Citywide,0.09079999999999999,4,0.022699999999999998,4,1.0000000000000000000
Momondo_Ethiopia_Hotel Citywide,Momondo,Ethiopia,Hotel Citywide,10.453599999999996,1223,0.008547506132461158,19216,0.0636448792672772689
KAYAK_Ethiopia_Hotel Citywide,KAYAK,Ethiopia,Hotel Citywide,109.24959999999989,5059,0.021595097845423974,19216,0.2632701915070774354
Hotelscombined_Ethiopia_Hotel Citywide,Hotelscombined,Ethiopia,Hotel Citywide,4.645399999999999,1328,0.0034980421686746977,19216,0.0691090757701915070
