brand,country,vertical,sov
Momondo,Aruba,Hotel Citywide,1.4578%
Hotelscombined,Aruba,Hotel Citywide,4.2161%
CheapFlights,Aruba,Hotel Citywide,0.0087%
Momondo,Australia,Car Rentals,24.1228%
KAYAK,Australia,Car Rentals,4.8246%
CheapFlights,Australia,Flights,9.5009%
KAYAK,Australia,Flights,6.2847%
Momondo,Australia,Flights,5.2992%
Travelsearch,Australia,Flights,5.5649%
Hotelscombined,Australia,Flights,1.9755%
Swoodoo,Australia,Flights,0.0012%
Hotelscombined,Australia,Hotel,4.2457%
Momondo,Australia,Hotel,0.1885%
KAYAK,Australia,Hotel,1.2061%
KAYAK,Australia,Hotel Citywide,4.5000%
Momondo,Australia,Hotel Citywide,1.1889%
Hotelscombined,Australia,Hotel Citywide,0.9461%
Swoodoo,Australia,Hotel Citywide,0.0005%
Hotelscombined,Australia,Vacations,10.8051%
KAYAK,Australia,Vacations,0.2119%
Momondo,Austria,Car Rentals,24.6032%
KAYAK,Austria,Car Rentals,3.0754%
Momondo,Austria,Flights,12.8474%
CheapFlights,Austria,Flights,4.8395%
Hotelscombined,Austria,Flights,3.4172%
KAYAK,Austria,Flights,0.5708%
Swoodoo,Austria,Flights,0.0054%
KAYAK,Austria,Hotel,1.2337%
Hotelscombined,Austria,Hotel,3.4905%
Swoodoo,Austria,Hotel,0.3766%
Momondo,Austria,Hotel,0.0682%
KAYAK,Austria,Hotel Citywide,3.3105%
Hotelscombined,Austria,Hotel Citywide,2.3271%
Momondo,Austria,Hotel Citywide,3.0599%
Swoodoo,Austria,Hotel Citywide,0.7871%
Hotelscombined,Austria,Vacations,10.3481%
KAYAK,Austria,Vacations,1.3876%
Momondo,Azerbaijan,Car Rentals,25.0000%
KAYAK,Azerbaijan,Car Rentals,6.2500%
KAYAK,Azerbaijan,Flights,8.7966%
CheapFlights,Azerbaijan,Flights,7.6030%
Momondo,Azerbaijan,Flights,3.6952%
Hotelscombined,Azerbaijan,Flights,9.0909%
KAYAK,Azerbaijan,Hotel,7.9946%
Hotelscombined,Azerbaijan,Hotel,3.7263%
Momondo,Azerbaijan,Hotel,0.2033%
KAYAK,Azerbaijan,Hotel Citywide,10.3660%
Momondo,Azerbaijan,Hotel Citywide,1.7552%
Hotelscombined,Azerbaijan,Hotel Citywide,2.9430%
Hotelscombined,Azerbaijan,Vacations,12.5000%
Momondo,Bahamas,Car Rentals,17.8571%
KAYAK,Bahamas,Car Rentals,25.0000%
KAYAK,Bahamas,Flights,9.4692%
CheapFlights,Bahamas,Flights,5.6336%
Momondo,Bahamas,Flights,2.3801%
Hotelscombined,Bahamas,Flights,4.3322%
KAYAK,Bahamas,Hotel,2.3967%
Hotelscombined,Bahamas,Hotel,5.3975%
Momondo,Bahamas,Hotel,0.2923%
KAYAK,Bahamas,Hotel Citywide,8.3251%
Momondo,Bahamas,Hotel Citywide,1.2154%
Hotelscombined,Bahamas,Hotel Citywide,3.6957%
CheapFlights,Bahamas,Hotel Citywide,0.0346%
Hotelscombined,Bahamas,Vacations,6.2500%
Momondo,Bahrain,Car Rentals,25.0000%
KAYAK,Bahrain,Car Rentals,11.5385%
KAYAK,Bahrain,Flights,8.6899%
Momondo,Bahrain,Flights,3.5691%
CheapFlights,Bahrain,Flights,4.5389%
