device,brand,country,vertical,sov
-1,KAYAK,Afghanistan,Flights,3.5087%
-1,Momondo,Afghanistan,Flights,1.3889%
-1,Hotelscombined,Afghanistan,Flights,11.2572%
-1,CheapFlights,Afghanistan,Flights,1.0965%
-1,KAYAK,Afghanistan,Hotel,13.1579%
-1,Hotelscombined,Afghanistan,Hotel,11.8421%
-1,KAYAK,Afghanistan,Hotel Citywide,10.3947%
-1,Momondo,Afghanistan,Hotel Citywide,2.4659%
-1,Hotelscombined,Afghanistan,Hotel Citywide,3.0349%
-1,Momondo,Albania,Car Rentals,25.0000%
-1,CheapFlights,Albania,Flights,4.5838%
-1,KAYAK,Albania,Flights,2.8826%
-1,Momondo,Albania,Flights,3.3367%
-1,Hotelscombined,Albania,Flights,13.0868%
-1,KAYAK,Albania,Hotel,7.3864%
-1,Momondo,Albania,Hotel,1.3258%
-1,Hotelscombined,Albania,Hotel,10.1642%
-1,KAYAK,Albania,Hotel Citywide,7.4133%
-1,Momondo,Albania,Hotel Citywide,1.0425%
-1,Hotelscombined,Albania,Hotel Citywide,2.9090%
-1,Swoodoo,Albania,Hotel Citywide,0.0071%
-1,Hotelscombined,Albania,Vacations,16.1363%
-1,KAYAK,Albania,Vacations,0.4545%
-1,Momondo,Algeria,Car Rentals,24.9999%
-1,Hotelscombined,Algeria,Flights,5.8250%
-1,KAYAK,Algeria,Flights,0.1764%
-1,CheapFlights,Algeria,Flights,0.2523%
-1,Momondo,Algeria,Flights,0.1240%
-1,KAYAK,Algeria,Hotel,10.2677%
-1,Momondo,Algeria,Hotel,1.9841%
-1,Hotelscombined,Algeria,Hotel,6.4979%
-1,KAYAK,Algeria,Hotel Citywide,6.3676%
-1,Momondo,Algeria,Hotel Citywide,1.5373%
-1,Hotelscombined,Algeria,Hotel Citywide,2.5497%
-1,KAYAK,Algeria,Vacations,15.6780%
-1,Hotelscombined,Algeria,Vacations,2.9661%
-1,KAYAK,American Samoa,Flights,25.0000%
-1,Momondo,American Samoa,Flights,8.3333%
-1,KAYAK,American Samoa,Hotel,8.3334%
-1,Hotelscombined,American Samoa,Hotel,8.3334%
-1,KAYAK,American Samoa,Hotel Citywide,21.4791%
-1,Momondo,American Samoa,Hotel Citywide,0.7042%
-1,Hotelscombined,American Samoa,Hotel Citywide,2.4648%
-1,Momondo,Andorra,Car Rentals,25.0000%
-1,CheapFlights,Andorra,Flights,7.6126%
-1,KAYAK,Andorra,Flights,4.2997%
-1,Momondo,Andorra,Flights,4.4094%
-1,Hotelscombined,Andorra,Flights,6.8686%
-1,KAYAK,Andorra,Hotel,8.6666%
-1,Hotelscombined,Andorra,Hotel,3.5000%
-1,Momondo,Andorra,Hotel,0.7500%
-1,KAYAK,Andorra,Hotel Citywide,6.2552%
-1,Hotelscombined,Andorra,Hotel Citywide,2.6029%
-1,Momondo,Andorra,Hotel Citywide,1.2157%
