device,brand,country,vertical,sov
-1,KAYAK,Afghanistan,Flights,4.1066%
-1,CheapFlights,Afghanistan,Flights,0.8646%
-1,Momondo,Afghanistan,Flights,1.0807%
-1,Hotelscombined,Afghanistan,Flights,6.2680%
-1,KAYAK,Afghanistan,Hotel,8.9286%
-1,Hotelscombined,Afghanistan,Hotel,8.9286%
-1,KAYAK,Afghanistan,Hotel Citywide,10.3262%
-1,Momondo,Afghanistan,Hotel Citywide,1.2568%
-1,Hotelscombined,Afghanistan,Hotel Citywide,2.5136%
-1,Momondo,Albania,Car Rentals,25.0000%
-1,KAYAK,Albania,Flights,2.8648%
-1,CheapFlights,Albania,Flights,3.2829%
-1,Hotelscombined,Albania,Flights,14.5086%
-1,Momondo,Albania,Flights,2.7659%
-1,KAYAK,Albania,Hotel,10.0650%
-1,Hotelscombined,Albania,Hotel,9.3507%
-1,Momondo,Albania,Hotel,1.0390%
-1,Swoodoo,Albania,Hotel,0.0649%
-1,KAYAK,Albania,Hotel Citywide,7.5052%
-1,Momondo,Albania,Hotel Citywide,0.7982%
-1,Hotelscombined,Albania,Hotel Citywide,2.9893%
-1,Swoodoo,Albania,Hotel Citywide,0.0066%
-1,Hotelscombined,Albania,Vacations,12.1212%
-1,Momondo,Algeria,Car Rentals,24.9999%
-1,Hotelscombined,Algeria,Flights,5.3719%
-1,KAYAK,Algeria,Flights,0.1265%
-1,Momondo,Algeria,Flights,0.0936%
-1,CheapFlights,Algeria,Flights,0.1522%
-1,KAYAK,Algeria,Hotel,10.8125%
-1,Hotelscombined,Algeria,Hotel,6.1983%
-1,Momondo,Algeria,Hotel,2.3416%
-1,KAYAK,Algeria,Hotel Citywide,7.1093%
-1,Momondo,Algeria,Hotel Citywide,1.0720%
-1,Hotelscombined,Algeria,Hotel Citywide,2.7814%
-1,KAYAK,Algeria,Vacations,14.1305%
-1,Hotelscombined,Algeria,Vacations,1.0870%
-1,KAYAK,American Samoa,Hotel,4.1667%
-1,KAYAK,American Samoa,Hotel Citywide,12.1623%
-1,Momondo,American Samoa,Hotel Citywide,2.7027%
-1,Hotelscombined,American Samoa,Hotel Citywide,2.0270%
-1,Momondo,Andorra,Car Rentals,25.0000%
-1,KAYAK,Andorra,Flights,6.3085%
-1,CheapFlights,Andorra,Flights,6.2093%
-1,Momondo,Andorra,Flights,5.1549%
-1,Hotelscombined,Andorra,Flights,7.6513%
-1,KAYAK,Andorra,Hotel,8.5020%
-1,Hotelscombined,Andorra,Hotel,3.0364%
-1,Momondo,Andorra,Hotel,0.6073%
-1,KAYAK,Andorra,Hotel Citywide,7.7936%
-1,Hotelscombined,Andorra,Hotel Citywide,2.8319%
-1,Momondo,Andorra,Hotel Citywide,0.8066%
-1,Swoodoo,Andorra,Hotel Citywide,0.0058%
-1,Hotelscombined,Andorra,Vacations,11.7089%
-1,KAYAK,Andorra,Vacations,1.2658%
-1,Momondo,Angola,Car Rentals,25.0000%
-1,CheapFlights,Angola,Flights,5.9330%
-1,KAYAK,Angola,Flights,4.4822%
-1,Momondo,Angola,Flights,3.5209%
-1,Hotelscombined,Angola,Flights,5.7738%
-1,KAYAK,Angola,Hotel,7.7273%
-1,Hotelscombined,Angola,Hotel,4.6591%
-1,Momondo,Angola,Hotel,1.1364%
-1,KAYAK,Angola,Hotel Citywide,8.5051%
-1,Momondo,Angola,Hotel Citywide,1.2770%
-1,Hotelscombined,Angola,Hotel Citywide,2.3344%
-1,KAYAK,Angola,Vacations,8.3333%
-1,Hotelscombined,Angola,Vacations,16.6666%
-1,KAYAK,Anguilla,Flights,4.1330%
-1,Momondo,Anguilla,Flights,0.9073%
-1,CheapFlights,Anguilla,Flights,0.9073%
-1,Hotelscombined,Anguilla,Flights,6.8548%
-1,KAYAK,Anguilla,Hotel,10.4169%
-1,Hotelscombined,Anguilla,Hotel,10.1192%
-1,Momondo,Anguilla,Hotel,2.3810%
-1,KAYAK,Anguilla,Hotel Citywide,8.4487%
-1,Momondo,Anguilla,Hotel Citywide,1.5928%
-1,Hotelscombined,Anguilla,Hotel Citywide,2.3545%
-1,KAYAK,Antarctica,Hotel Citywide,24.9999%
-1,KAYAK,Antigua and Barbuda,Flights,5.4441%
-1,Momondo,Antigua and Barbuda,Flights,1.4326%
-1,Hotelscombined,Antigua and Barbuda,Flights,7.0200%
-1,CheapFlights,Antigua and Barbuda,Flights,0.5731%
-1,KAYAK,Antigua and Barbuda,Hotel,7.4505%
-1,Momondo,Antigua and Barbuda,Hotel,0.8278%
-1,Hotelscombined,Antigua and Barbuda,Hotel,6.1260%
-1,KAYAK,Antigua and Barbuda,Hotel Citywide,7.8982%
-1,Momondo,Antigua and Barbuda,Hotel Citywide,1.8930%
-1,Hotelscombined,Antigua and Barbuda,Hotel Citywide,2.4587%
-1,CheapFlights,Antigua and Barbuda,Hotel Citywide,0.0870%
-1,Momondo,Argentina,Car Rentals,23.4012%
-1,KAYAK,Argentina,Car Rentals,3.6337%
